"ASR bake-off — real pod audio (pod 1095, quiz-bowl session, Jul 31; 5-min slice 1:00-6:00)"

Model,Time for 5-min clip (s),Speed vs realtime,Words captured,Word timestamps,AMI WER (leaderboard),License,Verdict on this clip
CrisperWhisper 2.0 (large),20.4 (incl ~8s load),~25x (transcribe only),288,"native, pause-true",7.10 (v1),Non-commercial research,DROPPED large stretches of real speech in one-shot long-form mode (live 12s-window mode unaffected). Verbatim style. Needs a fix before use as posthoc engine.
WhisperX large-v3 (current default),22.5 (incl load),~18x,541,forced-aligned,13.63,BSD/MIT,"Complete coverage; best proper nouns on this clip (Fukuyama, Siegfried). Known to hallucinate in silence/noise. Integrated diarization."
Qwen3-ASR 1.7B,107.4 (incl load),~3x,407,forced-aligned,8.31,Apache-2.0,Good quality but TRUNCATED the last 90 seconds of the clip. Slowest of the five.
Parakeet-TDT 0.6B v3,46.4 (incl download+load),>50x transcribe-only,517,native,n/a (best open long-form avg 10.7),CC-BY-4.0,"Complete coverage, very fast, tiny (0.6B). Weaker on proper nouns (Puliyama, minizengers). NeMo venv already on the server."
Granite-Speech-4.1-2B-NAR,5.7 transcribe-only (30s chunks),~52x,594,NONE (needs forced alignment),6.96 (best open),Apache-2.0,"Fastest + most complete coverage. Lowercase output, weaker proper nouns (fuguguyama). Empty output on >30s input unless chunked; needs its own venv (transformers 5.x)."

"Notes: 'Words captured' differs because of dropouts/truncation and style, not just accuracy. AMI = meeting-audio benchmark, closest to pod recordings."
Proper-noun quality judged on quiz-bowl content: WhisperX > Qwen3 > Parakeet ≈ Granite. Coverage: Granite ≈ Parakeet ≈ WhisperX > Qwen3 > CrisperWhisper(one-shot bug).

SIDE-BY-SIDE TRANSCRIPTS (30-second windows)
Window (mm:ss),CrisperWhisper 2.0,WhisperX large-v3,Qwen3-ASR 1.7B,Parakeet-TDT 0.6B v3,Granite-4.1-2B-NAR
0:00-0:30,"Oh. Oh. Oh, this is","Postmodern? Condition. Democracy, imperialism. The end of history. This author of identity argued that history had",There are no longer any dustbins for disposing of old ideologies old regimes old values For ten points each in this condition which Alexander Pushkin believed had been achieved after the French Revolution and the reign of Napoleon another thinker postPushkin of this condition in the 2018 book Identity Postmodern The modern period And history Oh identity Are you the history end because,"There are no longer any dust bins for disposing of old ideologies, old regimes, old values for ten points each in this condition. Which Alexander Kozhev believed had been act achieved after the French Revolution and the reign of Napoleon. Another finger postponed the achievement of this condition in the 2018 book identity. Postmodern? Condition. Democracy. Democracy is conscious. The end of history.","there are no longer any dustbins for disposing of old ideologies, old regimes, old values for 10 points each in this condition, which alexander kozv believed had been achieved after the french revolution and the reign of napoleon. another thing postponed the achievement of this condition in the 2018 book identity, postmodern condition democracy and perv the end of history author identity"
0:30-1:00,"so long. Consult two. This author used his own poem about Olympian Barth, who summed divine ideas below to begin an essay","ended because of the ascendancy of liberal democracy in the 1990s. This thinker also wrote The Origins of Political Order. Yes. In The End of History, Fukuyama argues history was over because this long period of covert conflict had ended in 1991 with capitalism victorious over the rival system of socialism, Cold War. That's 20. Concept 2. This author used his own poem about Olympian bards who sung Divine Ideas Below to begin an essay",of the ascendancy of liberal democracy in the 1990s This thinker also wrote the Origins of the Modern Order Yes In the end of history who yam are you History was over because this long period of world conflict had ended in 1991 But how was the victorious over the rival system of socialism called Twenty 2002 This author uses a quote about Olympian virtue summed up in his beloved beginning essay,"This finger also wrote the origins of political order. Yes. In the end of history, Puliyama argues history was over because this long period of covert conflict had ended in 1991. But capitalism victorious over the rival system of socialism. This author used his own poem about Olympian bar to some divine ideas below to begin an essay","it ended because of the ascancy of liberal democracy in the 1990s. this thinker also wrote the origins of political order. yes. in the end of history, fuguguyama argues history was over because this long period of covert conflict had ended in 1991, with capitalism victorious over the rival system of socialism, cold war .2. this author used his own poem about olympian v to sung divine ideas below begin an"
1:00-1:30,"defining genius as the activity which repairs the decay of things. He knocked Walt Whitman or Thomas Carlyle. But this author's essays on Shakespeare, Goethe, and five other great men were credited by F. O. Matthiessen with a s- with sparking a literary renaissance. Another essay by this author of representative men discusses becoming a transparent eyeball in order to ab- Make five. [laughter] This author wrote an essay which describes foolish consistency.","defining genius as the activity which repairs the decay of things. He knocked Walt Whitman or Thomas Carlyle, but this author's essays on Shakespeare, Goethe, and five other great men were credited by F.O. Matthiessen with sparking a literary renaissance. Another essay by this author of representative men discusses becoming a transparent eyeball in order to— Thoreau? Next five. Ooh, I fucked it up. To obtain solitude. This author wrote an essay which describes foolish consistency.",defining genius as the activity which prepares the cave man He's not Walt Whitman or Thomas Carlyle but this author as is John Shakespeare wrote to end five other great men represented by F O Benson with a with our new literary Renaissance Another essay by this author represented men discussing becoming transparentifiable in order of Number Twentyone To gain solitude this author wrote an essay which describes foolish consistency,"defining genius as the activity which repairs the decay of things. He knocked Walt Whitman or Thomas Carlisle. But this author's essays on Shakespeare, Goethe, and five other great men were credited by F. O. Metheason with a s with sparking a literary renaissance. Another essay by this author of representative men discusses becoming a transparent eyeball in order to Sorrow. Emerson.","def defining genius as the activity which repairs the decay of things. he's not walt whitman or thomas carlyle, but this author's essays on shakespeare, yoethe, and five other great men were credited by f.o o. metiasin with sparking a literary renaissance. another essay by this author of representative men discusses becoming a transparent eyeball in order to to obtain solitude. this author wrote an essay which describes foolish consistency."
1:30-2:00,That's it. Yeah. Yeah. [laughter] Thanks for that one. What's the name of the,"Everson? That's it. Thanks for that one. A possibly fictitious poet of this language is the punitive source of Wolfram von Eschenbach's Parsifal. For 10 points each, name this language used by 12th century troubadours like Bertrand de Born to sing about chivalry French? No, it says 12th century, so French. It's",That's it Yeah Yeah Thanks for that one Quote a possibly fictitious quote of this language is the cumulative story of all ambition bars and all for ten points each in this language used by 12th century troubadours like Bertrand de Bornes Saint Aubin French All No it's French All 12th century so French French,"That's it. Thanks for that one. Kyotes. A possibly fictitious poet of this language is the punitive source of Wolfram von Eschenbach, pars of all. For ten ways each. In this language used by twelfth century troubadours like Bertrand de Born to sing about chivalry. French? Oh. Usually Shabrik remembers the case. No, it's a twelve century, so French.","emerson? that's it. yeah., the new englander. thanks for that one.. cute. a possibly fictitious poet of this language is the putative source of wolfram von eschenbach's parseval. for 10 points each, in this language, used by 12th century troubadours like bertrand de to sing about chivalry? french?? oh usually. no, it's 12th century, so french."
2:00-2:30,"place? A leap from one of these, Lance Baldwin seeing Freed's back while he bathed in a dragon's blood.","Ossetian. Ossetian troubadours influence minnesangers like Walter von der Vogelbieder, who wrote a poem about a rendezvous under one of these plants. A leap from one of these plants falls and Sting frees back while he bathes in a dragon's blood. Tree? Sometimes. Linden tree or lime tree. Both the troubadours and the minnesotans",It's Austin Austin troubadours influenced minnesingers like Walter von der Vogelweida who wrote poems about the romance under one of these lands a leap from one of these lands falling sleep with back while he bathed in dragon's blood Tree Tree Sure Tree Tree Linden tree or lime tree Both the troubadours and the minnesingers emphasize the country form,"French. It's Ocetin. Austin Troubadours influence minizengers like Walter von der Vogelbeda, who wrote a poem about a rendezvous under one of these plants. A leap from one of these plants followed in seeing Fried's back while he bathed in a dragon's blood. Tree? Sometimes tree? Ron. Maple. Well, they don't have leaves. A Linden tree or lime tree. Both the Troubadours and the Mina Mina","it's a. a troubadours influenced minnesers like walter van der vogelweda, who wrote a poem about a rendezvous under one of these plants. a leaf from one of these plants fallen singfried's back while he bathed in a dragon's flood. tree? there's no tree sure anybody tree?., don't. a linden tree or a lime tree both the troubad and."
2:30-3:00,,"emphasize the country form of this concept as a chivalry ideal. Associations between this concept and medieval literature give the word romance its modern sense. Love. Yeah. Yeah, love. Done. Okay. That was a three. This thinker used the phrase, let's not insult past unavenged to argue one's actions are not made on impulse and always aimed towards a goal. This thinker believed that sex outside of marriage was contemptible because sex one makes himself into a thing and treats other people as",of this concept of the chivalric ideal a association between this and medieval literature given the word romances modern sense Yeah Yeah Then Okay 203 This thinker used the phrase not not insult pass unavenged Arguements actions are not made on impulse and always aim towards a goal,"Zangers emphasize the country form of this concept as a chivalric ideal. Associations between this concept and medieval literature give the word romance its modern sense. Yeah. Yeah, love. Okay. Country. Pass unavenged to argue one's actions are not made on impulse and always aimed towards a goal. This thinker believed that sex outside of marriage was contemptible because sex one makes himself into a thing and treats other people as objects.",the emphasized the country form of this concept as a chivalric ideal. associations between this concept and medieval literature give the word romance its modern sense. yeah yeah love. okay three. this thinker used the phrase not not insult past unavenged to argue one's actions are not made on impulse and always aimed towards a goal. this thinker believed that sex outside of marriage was contemptible because sex one makes himself into a thing and treats other people as.
3:00-3:30,"Ethical inclinations by analyzing the the different motivations for a shopkeeper to charge fair prices. In response to criticism, this figure argued that it is not ethical to lie to a potential murderer about where, ten. [laughter] Mitochondrial superoxide dismutase uses this element as a cofactor, while another enzyme transitions between states sub- S sub-zero through S sub-four, as atoms of this element are successfully","objects. This thinker criticizes ethical inclinations by analyzing the different motivations for a shopkeeper to charge fair prices. In response to criticism, this thinker argued that it is not ethical to lie to a potential murderer Mitochondrial superoxide dismutase uses this element as a cofactor, while another enzyme transitions between state s sub zero through s sub four as atoms of this element are successfully",This thinker criticizes ethical inclinations by analyzing the different motivations for a shocking murder charge Fair prices In response to criticism this thinker argues that it is not ethical to lie to a potential murderer about where Cont Ten Yeah,"This finger criticizes ethical inclinations by analyzing the different motivations for a shopkeeper to charge fair prices. In response to criticism, this thinker argued that it is not ethical to lie to a potential murderer about where Hunt.","this linker criticizes ethical inclinations by analyzing the different motivations for a shopkeeper to charge fair prices. in response to the criticism, this linker argues that it is not ethical to lie to a potential murderer about where mitochondrial superoxide uses this element as a cofactor, while another enzyme transition between state s sub0 through s sub4 as atoms of this element are"
3:30-4:00,"oxidized in the Cock cycle. For ten points each, name this element, four atoms of which are oxidized in the active center of the oxygen-evolving complex. The synthesis are light carbon dioxide and this compound. Oh, never mind, never mind. Oh.","oxidized in the Koch cycle. For ten points each, name this element, four atoms of which are oxidized in the active center of the oxygen-evolving complex. Okay. Manganese. The oxygen-evolving complex produces oxygen by oxidizing this compound to start the electron transport chain. Though required inputs for typical photosynthesis are light, carbon dioxide, and this compound. Oxygen. No. Oh, never mind, never mind.",,"Though required inputs for typical photosynthesis are light, carbon dioxide, and this compound. Nope. Oh never mind, never mind.","successfully in the k cycle for 10 points each name this element, four atoms of which are oxidized in the active center of the oxygenving complex. okay manganese. the oxygen-ev complex reduces oxygen by oxidizing this compound to start the electron transport chain. though required inputs for typical photosynthesis are light, carbon dioxide, and this compound."
4:00-4:30,"In the non-cyclic part of the photosynthetic ETC the electrons ultimately end up in this protein on this protein which reduces NADP reductase and thus allows it to convert NADP plus to NADPH. No, it's paradoxin. Or FD. I","In the non-cyclic part of the photosynthetic ETC, the electrons ultimately end up in this protein, on this protein, which reduces NADP reductase and thus allows it to convert NADP plus to NADPH. No, it's pyridoxin. We have questions over here. yeah death to all plans",,"Excellent. In the non-cyclic part of the photosynthetic ETCs, electrons ultimately end up in this protein. On this protein, which reduces NATP reductase and thus allows it to convert NADP plus to NADPH. No, it's Feradoxin. Um we have over here. Are you full of the recorded?","in the non-cyclic part of the photosynthetic etc, the electrons ultimately end up in this protein, on this protein, which reduces nadp reductase and thus allows to convert nadp plus to nadp no, it fair we have over here. and, are you cool with being recorded?."
4:30-5:00,think Andrew's gonna make a lot of content. For sure.,I think Andrew's gonna make a lot of content. For sure.,,"That was what I see. Yeah, death to all plans. I think Andrew's gonna make a lot of content. Yeah, disappointing looks in the faces of everyone. Yeah. No, I I can know.","i yeah, death to all players. i think andrew's going to make a lot of content. for sure. yeah, looks's disappointing looks on the faces of everyone else. yeah. no, i can"
